,sentences
220723,Have to spend half my time in bed as I felt it was best to protect my head not able to drive all around with it so basically for the last month 75 % of the time I have been in bed which I hate.
220771,I have been anxious since I thought I was bitten by a cat last year.
220849,My diabetic doctor has prescribed Meronem 500 mg injection twice a day for five days.
221001,"Avoid spicy, oily and masala foods."
221028,"If you experience headache, it may be a temporary effect and the drug should not be stopped, as the situation is going to improve in the next coming weeks."
221044,I have read through the complaint and the relevant details.
221239,"My recommendation for your wife is to rest, avoid lifting and have strong painkillers followed by physiotherapy."
221245,Our house is located just beside a busy and dusty road.
221251,It is important to exclude any associated medical problem.
221282,The age for its eruption ranges between 18-25 years.
221326,"So, I am wondering if this dilation is even necessary or just to leave it alone?"
221340,Are you sure you have giddiness from childhood after your teacher pulled your ears?
221399,"HDL 42,"
221445,I even tried to observe if the 'morning erection' is fine because of which I could not sleep properly.
221448,I am now scared.
221452,Edit: I am feeling a bit better now.
221505,There is pain under Adam's apple a little to the left.
221544,Thus the patient becomes hypoxic with frequent exacerbations in winter with any infection of the lung.
221586,Your partner should also receive full antibiotic course.
221591,"Today is the 13th day from when my period started and I am getting bad backache, my breasts hurt (usually happens just before period) and sticky egg white discharge."
221625,It is treated with a systemic antifungal for six months and keeping nails dry most of the time.
221667,I take Feliz S plus 5 for high palpitation and high BP.
221724,Chemical or heat burn.
221728,I am facing irregular periods problem from one year (since I took I-pill).
221733,"I am taking M2-tone, and Shatavari capsules from few days."
221735,Tell me some remedies or treatment regarding my problem.
221861,"I self-harmed to look ill, not because of an inner need."
221891,"Hello doctor,I am a 50-year-old female."
221897,The presence of microcytic hypochromic red cells is indicative of iron deficiency anemia.
221961,"When my partner speaks with me, I get some intimacy towards him."
222020,I started to apply a normal cream on the spots (the ones you apply in the winters to keep your lips and cheeks from cracking) and the redness of the bumps went away after two to three days and the bumps also started to fall.
222117,I am 26 years old and have been a type-1 diabetic for 24 years.
222120,"Aside from having a great A1C and taking prenatal vitamins, is there anything else I should be doing to prepare for diabetic pregnancy?"
222149,Does this indicate it is not healing?
222159,"On the 25th hour, I took I-pill."
222217,Avoid any irritants like soap.
222418,It would be clear after a physical examination and other details about disease history.
222423,Go for a colonoscopy once.
222441,An antidepressant may be needed.
222483,A course of PPI (proton pump inhibitors) like pantoprazole is required to treat gastroesophageal reflux disease.
222488,Metastasis to a few nodes was noted four years back.
222574,Revert with more information to a radiologist online --> https://www.icliniq.com/ask-a-doctor-online/radiologist
222718,"I have GERD and was recently diagnosed with equivocal H. pylori after symptoms of wet mouth (not to the point of drooling), mild intermittent nausea (no gag or vomit) and minor upper abdomen discomfort."
222727,You can have some probiotics if it is persistent.
222806,"Currently, I am on tablet Etamsylate."
222861,You can have a course of antibiotics like tablet Levofloxacin 500 mg once a day for 10 days.
222873,"So, to avoid severe consequences, it is better to take precautions."
222931,"In case of a short period, only some troubles with concentration may occur."
222949,It can also happen in vitreous hemorrhage in which you will see a slightly reddish vision and will not clear up.
223003,I have a fear of dental and other painful procedures.
223065,How long have you been trying to conceive?
223123,Spine with the screening of the whole spine: Cervical spine was studied with 3 mm thin slices in the axial and sagittal plane.
223130,"Posterior disc osteophyte complex is seen at the C4-C5 level causing left neural foramina stenosis, indentation over cord and compression upon left C5 nerve root."
223187,Though even that has to be followed up by a 12-week screening test for a conclusive result.
223442,If this is too much take Zantac (Ranitidine) 150 mg before food twice daily and take warm salt water gargles at least thrice a day.
223542,"For the last six years, new black moles have been appearing in my palms."
223556,Do note that he takes regular medicines for maintaining his blood pressure: Olmax-AM and Prazopress-XL).
